Type,Assembly Number,Connected to PCS N,Board N,Lens 1 N,Lens 2 N ,Lens 3 N
RX,,P1R1,440-0375-00290,R6AC-000219,R6AC-000543,R6AC-000545
,,P1R2,440-0375-00285,R6AC-000220,R6AC-000222,R6AC-000301
,,P1R3,440-0375-00260,R6AC-000921,R6AC-000925,R6AC-001114
,,P2R1,440-0375-00204,R6AC-000326,R6AC-000327,R6AC-000328
,,P2R2,440-0375-00286,R6AC-000675,R6AC-000676,R6AC-000677
,,P2R3,440-0375-00197,R6AC-000869,R6AC-000873,R6AC-000877
,,P3R1,440-0375-00207,R6AC-000429,R6AC-000430,R6AC-000431
,,P3R2,440-0375-00206,R6AC-000929,R6AC-001064,R6AC-001118
,,P3R3,440-0375-00205,R6AC-000166,R6AC-000666,R6AC-000668
,,P4R1,440-0375-00188,R6AC-000092,R6AC-000163,R6AC-000164
,,P4R2,440-0375-00280,R6AC-000090,R6AC-000091,R6AC-000399
,,P4R3,440-0375-00198,R6AC-000667,R6AC-001059,R6AC-001068
,,P5R1,440-0375-00276,R6AC-000660,R6AC-000661,R6AC-000662
,,P5R2,440-0375-00284,R6AC-001013,R6AC-001019,R6AC-001025
,,P5R3,440-0375-00289,R6AC-000296,R6AC-000297,R6AC-000298
,,P6R1,440-0375-00288,R6AC-000753,R6AC-000758,R6AC-000762
,,P6R2,440-0375-00278,R6AC-000912,R6AC-000908,R6AC-000907
,,P6R3,440-0375-00279,R6AC-000398,R6AC-000406,R6AC-000461
,,,,,,
,Spare Board,,,,,
,,,,,,
TX,15,P1T1,440-0329-00525,31119,30996,30543
,26,P1T2,440-0329-00521,32050,32060,31171
,23,P1T3,440-0329-00553,32241,31182,31176
,14,P2T1,440-0329-00524,30799,30921,31116
,13,P2T2,440-0329-00527,32120,32035,32032
,19,P2T3,440-0329-00519,32097,32201,32219
,28,P3T1,440-0329-00889,32250,32165,32009
,16,P3T2,440-0329-00518,32104,32152,32149
,42,P3T3,440-0329-00890,30906,30994,30658
,9,P4T1,440-0329-00549,30556,30987,31002
,21,P4T2,440-0329-00546,31003,30999,30676
,25,P4T3,440-0329-00517,30873,30905,30669
,17,P5T1,440-0329-00916,32094,32204,32246
,10,P5T2,440-0329-00927,30849,30691,30924
,24,P5T3,440-0329-00538,30978,30855,30913
,22,P6T1,440-0329-00526,32182,32059,32067
,27,P6T2,440-0329-00558,31050,30894,31160
,18,P6T3,440-0329-00530,32018,32186,32108
