RFIC Number,H-Feed (Odd),V-Feed (Even),Patch_Number
10,CH1_H,CH1_V,1
10,CH3_H,CH3_V,2
10,CH2_H,CH2_V,3
10,CH0_H,CH0_V,4
15,CH3_H,CH3_V,5
12,CH2_H,CH2_V,6
7,CH0_H,CH0_V,7
7,CH2_H,CH2_V,8
5,CH1_H,CH1_V,9
5,CH0_H,CH0_V,10
8,CH1_H,CH1_V,11
13,CH3_H,CH3_V,12
13,CH1_H,CH1_V,13
15,CH2_H,CH2_V,14
15,CH1_H,CH1_V,15
12,CH0_H,CH0_V,16
12,CH1_H,CH1_V,17
12,CH3_H,CH3_V,18
7,CH1_H,CH1_V,19
7,CH3_H,CH3_V,20
2,CH0_H,CH0_V,21
5,CH3_H,CH3_V,22
5,CH2_H,CH2_V,23
8,CH3_H,CH3_V,24
8,CH2_H,CH2_V,25
8,CH0_H,CH0_V,26
13,CH2_H,CH2_V,27
13,CH0_H,CH0_V,28
18,CH3_H,CH3_V,29
15,CH0_H,CH0_V,30
19,CH3_H,CH3_V,31
17,CH2_H,CH2_V,32
17,CH3_H,CH3_V,33
14,CH2_H,CH2_V,34
9,CH0_H,CH0_V,35
9,CH2_H,CH2_V,36
4,CH0_H,CH0_V,37
4,CH2_H,CH2_V,38
2,CH1_H,CH1_V,39
2,CH2_H,CH2_V,40
1,CH1_H,CH1_V,41
1,CH0_H,CH0_V,42
3,CH1_H,CH1_V,43
3,CH0_H,CH0_V,44
6,CH1_H,CH1_V,45
11,CH3_H,CH3_V,46
11,CH1_H,CH1_V,47
16,CH3_H,CH3_V,48
16,CH1_H,CH1_V,49
18,CH2_H,CH2_V,50
18,CH1_H,CH1_V,51
19,CH2_H,CH2_V,52
19,CH1_H,CH1_V,53
17,CH0_H,CH0_V,54
17,CH1_H,CH1_V,55
14,CH0_H,CH0_V,56
14,CH1_H,CH1_V,57
14,CH3_H,CH3_V,58
9,CH1_H,CH1_V,59
9,CH3_H,CH3_V,60
4,CH1_H,CH1_V,61
4,CH3_H,CH3_V,62
2,CH3_H,CH3_V,63
1,CH2_H,CH2_V,64
1,CH3_H,CH3_V,65
3,CH3_H,CH3_V,66
3,CH2_H,CH2_V,67
6,CH3_H,CH3_V,68
6,CH2_H,CH2_V,69
6,CH0_H,CH0_V,70
11,CH2_H,CH2_V,71
11,CH0_H,CH0_V,72
16,CH2_H,CH2_V,73
16,CH0_H,CH0_V,74
18,CH0_H,CH0_V,75
19,CH0_H,CH0_V,76
